display_name,split,bin,macro_f1,ci_low,ci_high
H CE,Test1,Low,0.3268057900304542,NA,NA
H CE,Test1,Mid,0.24253024125646844,NA,NA
H CE,Test1,High,0.14485578883790126,NA,NA
H CE,Test2,Low,0.21419451707012258,NA,NA
H CE,Test2,Mid,0.19425434502383615,NA,NA
H CE,Test2,High,0.14204742321002686,NA,NA
H CB,Test1,Low,0.2968557333059581,NA,NA
H CB,Test1,Mid,0.24255722083166745,NA,NA
H CB,Test1,High,0.1805821177466599,NA,NA
H CB,Test2,Low,0.1958412387039005,NA,NA
H CB,Test2,Mid,0.19407165877655252,NA,NA
H CB,Test2,High,0.14803307297772209,NA,NA
P KLD,Test1,Low,0.3467509905969937,NA,NA
P KLD,Test1,Mid,0.25665518723787206,NA,NA
P KLD,Test1,High,0.12025605253843914,NA,NA
P KLD,Test2,Low,0.2565530353199672,NA,NA
P KLD,Test2,Mid,0.20704336731554684,NA,NA
P KLD,Test2,High,0.12042767520965242,NA,NA
ML KLD,Test1,Low,0.3176346989811105,NA,NA
ML KLD,Test1,Mid,0.27236361953502786,NA,NA
ML KLD,Test1,High,0.17073848928283708,NA,NA
ML KLD,Test2,Low,0.2283926055250448,NA,NA
ML KLD,Test2,Mid,0.2116469559677675,NA,NA
ML KLD,Test2,High,0.15349149408550358,NA,NA
MH KLD,Test1,Low,0.34129221132535487,NA,NA
MH KLD,Test1,Mid,0.2671556125672777,NA,NA
MH KLD,Test1,High,0.17501416404779724,NA,NA
MH KLD,Test2,Low,0.2518339605419903,NA,NA
MH KLD,Test2,Mid,0.21455540473630041,NA,NA
MH KLD,Test2,High,0.1440380243074908,NA,NA
MH WKLD,Test1,Low,0.33312629956645057,NA,NA
MH WKLD,Test1,Mid,0.27953523094039123,NA,NA
MH WKLD,Test1,High,0.18114603747209082,NA,NA
MH WKLD,Test2,Low,0.24065908320639837,NA,NA
MH WKLD,Test2,Mid,0.22368632041838754,NA,NA
MH WKLD,Test2,High,0.14635620152706175,NA,NA
MH +F,Test1,Low,0.33625982663221116,NA,NA
MH +F,Test1,Mid,0.24117675279054668,NA,NA
MH +F,Test1,High,0.1492541258776493,NA,NA
MH +F,Test2,Low,0.2502674121127909,NA,NA
MH +F,Test2,Mid,0.20413964101481583,NA,NA
MH +F,Test2,High,0.13264465521402075,NA,NA
MH +RF,Test1,Low,0.3421926329815547,NA,NA
MH +RF,Test1,Mid,0.25772706671225887,NA,NA
MH +RF,Test1,High,0.16382820007984655,NA,NA
MH +RF,Test2,Low,0.24729180539467746,NA,NA
MH +RF,Test2,Mid,0.2110160576335957,NA,NA
MH +RF,Test2,High,0.13082024784482438,NA,NA
MH +W,Test1,Low,0.34152331100232075,NA,NA
MH +W,Test1,Mid,0.2458882188453964,NA,NA
MH +W,Test1,High,0.1511674859260063,NA,NA
MH +W,Test2,Low,0.2566116917715327,NA,NA
MH +W,Test2,Mid,0.2056654274461385,NA,NA
MH +W,Test2,High,0.13400152363856968,NA,NA
MH +RW,Test1,Low,0.341474491801048,NA,NA
MH +RW,Test1,Mid,0.2609619048403808,NA,NA
MH +RW,Test1,High,0.1670854991516915,NA,NA
MH +RW,Test2,Low,0.2501323592932082,NA,NA
MH +RW,Test2,Mid,0.21665851488062865,NA,NA
MH +RW,Test2,High,0.1424731851681165,NA,NA
